accuracy,avg_recall@k,avg_precision@k,avg_f1,model,top_k,threshold
0.0,0.1,0.0,0.0,e5,4,0.85
0.8,0.7,0.28,0.3785714285714286,e5,5,None
0.8,0.7,0.28,0.3785714285714286,e5,5,0.6
0.8,0.7,0.28,0.3785714285714286,e5,5,0.65
0.8,0.65,0.34,0.3880952380952381,e5,5,0.7
0.7,0.6,0.25333333333333335,0.33285714285714285,e5,5,0.75
0.3,0.36666666666666664,0.3,0.27999999999999997,e5,5,0.8
0.0,0.1,0.0,0.0,e5,5,0.85
0.0,0.1,0.0,0.0,e5,5,0.85
0.8,0.7,0.23333333333333334,0.33333333333333337,e5,6,None
0.8,0.7,0.23333333333333334,0.33333333333333337,e5,6,0.6
0.8,0.7,0.23333333333333334,0.33333333333333337,e5,6,0.65
0.8,0.65,0.30000000000000004,0.35,e5,6,0.7
0.7,0.6,0.22666666666666666,0.30666666666666664,e5,6,0.75
0.3,0.36666666666666664,0.3,0.27999999999999997,e5,6,0.8
0.0,0.1,0.0,0.0,e5,6,0.85
0.0,0.1,0.0,0.0,e5,6,0.85
0.8,0.7333333333333333,0.21428571428571425,0.3177777777777778,e5,7,None
0.8,0.7333333333333333,0.21428571428571425,0.3177777777777778,e5,7,0.6
0.8,0.7333333333333333,0.21904761904761902,0.32333333333333336,e5,7,0.65
0.8,0.6833333333333333,0.2857142857142857,0.34,e5,7,0.7
0.7,0.6333333333333333,0.22190476190476188,0.3061111111111111,e5,7,0.75
0.3,0.36666666666666664,0.3,0.27999999999999997,e5,7,0.8
0.0,0.1,0.0,0.0,e5,7,0.85
0.0,0.1,0.0,0.0,e5,7,0.85
0.6,0.35,0.6,0.35,sbert,1,None
0.2,0.16666666666666666,0.2,0.1,sbert,1,0.6
0.1,0.13333333333333333,0.1,0.05,sbert,1,0.65
0.0,0.1,0.0,0.0,sbert,1,0.7
0.0,0.1,0.0,0.0,sbert,1,0.75
0.0,0.1,0.0,0.0,sbert,1,0.8
0.0,0.1,0.0,0.0,sbert,1,0.85
0.0,0.1,0.0,0.0,sbert,1,0.85
0.8,0.4833333333333334,0.45,0.41,sbert,2,None
0.2,0.16666666666666666,0.1,0.08,sbert,2,0.6
0.1,0.13333333333333333,0.1,0.05,sbert,2,0.65
0.0,0.1,0.0,0.0,sbert,2,0.7
0.0,0.1,0.0,0.0,sbert,2,0.75
0.0,0.1,0.0,0.0,sbert,2,0.8
0.0,0.1,0.0,0.0,sbert,2,0.85
0.0,0.1,0.0,0.0,sbert,2,0.85
0.8,0.5666666666666667,0.36666666666666664,0.4066666666666666,sbert,3,None
0.2,0.2,0.1,0.1,sbert,3,0.6
0.1,0.13333333333333333,0.1,0.05,sbert,3,0.65
0.0,0.1,0.0,0.0,sbert,3,0.7
0.0,0.1,0.0,0.0,sbert,3,0.75
0.0,0.1,0.0,0.0,sbert,3,0.8
0.0,0.1,0.0,0.0,sbert,3,0.85
0.0,0.1,0.0,0.0,sbert,3,0.85
0.8,0.6,0.3,0.3714285714285715,sbert,4,None
0.2,0.2,0.1,0.1,sbert,4,0.6
0.1,0.13333333333333333,0.1,0.05,sbert,4,0.65
0.0,0.1,0.0,0.0,sbert,4,0.7
0.0,0.1,0.0,0.0,sbert,4,0.75
0.0,0.1,0.0,0.0,sbert,4,0.8
0.0,0.1,0.0,0.0,sbert,4,0.85
0.0,0.1,0.0,0.0,sbert,4,0.85
0.8,0.6,0.24000000000000005,0.3214285714285714,sbert,5,None
0.2,0.2,0.1,0.1,sbert,5,0.6
0.1,0.13333333333333333,0.1,0.05,sbert,5,0.65
0.0,0.1,0.0,0.0,sbert,5,0.7
0.0,0.1,0.0,0.0,sbert,5,0.75
0.0,0.1,0.0,0.0,sbert,5,0.8
0.0,0.1,0.0,0.0,sbert,5,0.85
0.0,0.1,0.0,0.0,sbert,5,0.85
0.8,0.6,0.2,0.2833333333333333,sbert,6,None
0.2,0.2,0.1,0.1,sbert,6,0.6
0.1,0.13333333333333333,0.1,0.05,sbert,6,0.65
0.0,0.1,0.0,0.0,sbert,6,0.7
0.0,0.1,0.0,0.0,sbert,6,0.75
0.0,0.1,0.0,0.0,sbert,6,0.8
0.0,0.1,0.0,0.0,sbert,6,0.85
0.0,0.1,0.0,0.0,sbert,6,0.85
0.8,0.6,0.1714285714285714,0.25333333333333335,sbert,7,None
0.2,0.2,0.1,0.1,sbert,7,0.6
0.1,0.13333333333333333,0.1,0.05,sbert,7,0.65
0.0,0.1,0.0,0.0,sbert,7,0.7
0.0,0.1,0.0,0.0,sbert,7,0.75
0.0,0.1,0.0,0.0,sbert,7,0.8
0.0,0.1,0.0,0.0,sbert,7,0.85
0.0,0.1,0.0,0.0,sbert,7,0.85
0.7,0.4,0.7,0.41666666666666663,pubmedbert,1,None
0.7,0.4,0.7,0.41666666666666663,pubmedbert,1,0.6
0.7,0.4,0.7,0.41666666666666663,pubmedbert,1,0.65
0.7,0.4,0.7,0.41666666666666663,pubmedbert,1,0.7
0.7,0.4,0.7,0.41666666666666663,pubmedbert,1,0.75
0.6,0.35,0.6,0.35,pubmedbert,1,0.8
0.6,0.35,0.6,0.35,pubmedbert,1,0.85
0.6,0.35,0.6,0.35,pubmedbert,1,0.85
0.7,0.5166666666666666,0.5,0.45,pubmedbert,2,None
0.7,0.5166666666666666,0.5,0.45,pubmedbert,2,0.6
0.7,0.5166666666666666,0.5,0.45,pubmedbert,2,0.65
0.7,0.5166666666666666,0.5,0.45,pubmedbert,2,0.7
0.7,0.5166666666666666,0.5,0.45,pubmedbert,2,0.75
0.6,0.4666666666666666,0.45,0.4,pubmedbert,2,0.8
0.6,0.4666666666666666,0.45,0.4,pubmedbert,2,0.85
0.6,0.4666666666666666,0.45,0.4,pubmedbert,2,0.85
0.8,0.6,0.4000000000000001,0.43999999999999995,pubmedbert,3,None
0.8,0.6,0.4000000000000001,0.43999999999999995,pubmedbert,3,0.6
0.8,0.6,0.4000000000000001,0.43999999999999995,pubmedbert,3,0.65
0.8,0.6,0.4000000000000001,0.43999999999999995,pubmedbert,3,0.7
0.8,0.6,0.4000000000000001,0.43999999999999995,pubmedbert,3,0.75
0.7,0.55,0.3666666666666667,0.4,pubmedbert,3,0.8
0.7,0.55,0.3666666666666667,0.4,pubmedbert,3,0.85
0.7,0.55,0.3666666666666667,0.4,pubmedbert,3,0.85
0.8,0.6333333333333333,0.325,0.4000000000000001,pubmedbert,4,None
0.8,0.6333333333333333,0.325,0.4000000000000001,pubmedbert,4,0.6
0.8,0.6333333333333333,0.325,0.4000000000000001,pubmedbert,4,0.65
0.8,0.6333333333333333,0.325,0.4000000000000001,pubmedbert,4,0.7
0.8,0.6333333333333333,0.325,0.4000000000000001,pubmedbert,4,0.75
0.7,0.5833333333333333,0.3,0.3666666666666667,pubmedbert,4,0.8
0.7,0.5833333333333333,0.3,0.3666666666666667,pubmedbert,4,0.85
0.7,0.5833333333333333,0.3,0.3666666666666667,pubmedbert,4,0.85
0.8,0.6833333333333333,0.27999999999999997,0.37500000000000006,pubmedbert,5,None
0.8,0.6833333333333333,0.27999999999999997,0.37500000000000006,pubmedbert,5,0.6
0.8,0.6833333333333333,0.27999999999999997,0.37500000000000006,pubmedbert,5,0.65
0.8,0.6833333333333333,0.27999999999999997,0.37500000000000006,pubmedbert,5,0.7
0.8,0.6833333333333333,0.27999999999999997,0.37500000000000006,pubmedbert,5,0.75
0.7,0.5833333333333333,0.24,0.3178571428571429,pubmedbert,5,0.8
0.7,0.5833333333333333,0.24,0.3178571428571429,pubmedbert,5,0.85
0.7,0.5833333333333333,0.24,0.3178571428571429,pubmedbert,5,0.85
0.8,0.7333333333333333,0.25,0.3555555555555555,pubmedbert,6,None
0.8,0.7333333333333333,0.25,0.3555555555555555,pubmedbert,6,0.6
0.8,0.7333333333333333,0.25,0.3555555555555555,pubmedbert,6,0.65
0.8,0.7333333333333333,0.25,0.3555555555555555,pubmedbert,6,0.7
0.8,0.7333333333333333,0.25,0.3555555555555555,pubmedbert,6,0.75
0.7,0.6333333333333333,0.21666666666666665,0.3055555555555555,pubmedbert,6,0.8
0.7,0.6333333333333333,0.21666666666666665,0.3055555555555555,pubmedbert,6,0.85
0.7,0.6333333333333333,0.21666666666666665,0.3055555555555555,pubmedbert,6,0.85
0.8,0.7333333333333333,0.21428571428571425,0.3177777777777778,pubmedbert,7,None
0.8,0.7333333333333333,0.21428571428571425,0.3177777777777778,pubmedbert,7,0.6
0.8,0.7333333333333333,0.21428571428571425,0.3177777777777778,pubmedbert,7,0.65
0.8,0.7333333333333333,0.21428571428571425,0.3177777777777778,pubmedbert,7,0.7
0.8,0.7333333333333333,0.21428571428571425,0.3177777777777778,pubmedbert,7,0.75
0.7,0.6333333333333333,0.18571428571428567,0.2733333333333334,pubmedbert,7,0.8
0.7,0.6333333333333333,0.18571428571428567,0.2733333333333334,pubmedbert,7,0.85
0.7,0.6333333333333333,0.18571428571428567,0.2733333333333334,pubmedbert,7,0.85
0.5,0.31666666666666665,0.5,0.29999999999999993,biobert-sim,1,None
0.1,0.15,0.1,0.06666666666666667,biobert-sim,1,0.6
0.0,0.1,0.0,0.0,biobert-sim,1,0.65
0.0,0.1,0.0,0.0,biobert-sim,1,0.7
0.0,0.1,0.0,0.0,biobert-sim,1,0.75
0.0,0.1,0.0,0.0,biobert-sim,1,0.8
0.0,0.1,0.0,0.0,biobert-sim,1,0.85
0.0,0.1,0.0,0.0,biobert-sim,1,0.85
0.5,0.36666666666666664,0.3,0.27999999999999997,biobert-sim,2,None
0.1,0.15,0.1,0.06666666666666667,biobert-sim,2,0.6
0.0,0.1,0.0,0.0,biobert-sim,2,0.65
0.0,0.1,0.0,0.0,biobert-sim,2,0.7
0.0,0.1,0.0,0.0,biobert-sim,2,0.75
0.0,0.1,0.0,0.0,biobert-sim,2,0.8
0.0,0.1,0.0,0.0,biobert-sim,2,0.85
0.0,0.1,0.0,0.0,biobert-sim,2,0.85
0.7,0.4833333333333334,0.30000000000000004,0.33333333333333337,biobert-sim,3,None
0.1,0.15,0.1,0.06666666666666667,biobert-sim,3,0.6
0.0,0.1,0.0,0.0,biobert-sim,3,0.65
0.0,0.1,0.0,0.0,biobert-sim,3,0.7
0.0,0.1,0.0,0.0,biobert-sim,3,0.75
0.0,0.1,0.0,0.0,biobert-sim,3,0.8
0.0,0.1,0.0,0.0,biobert-sim,3,0.85
0.0,0.1,0.0,0.0,biobert-sim,3,0.85
0.8,0.5666666666666667,0.275,0.34285714285714286,biobert-sim,4,None
0.1,0.15,0.1,0.06666666666666667,biobert-sim,4,0.6
0.0,0.1,0.0,0.0,biobert-sim,4,0.65
0.0,0.1,0.0,0.0,biobert-sim,4,0.7
0.0,0.1,0.0,0.0,biobert-sim,4,0.75
0.0,0.1,0.0,0.0,biobert-sim,4,0.8
0.0,0.1,0.0,0.0,biobert-sim,4,0.85
0.0,0.1,0.0,0.0,biobert-sim,4,0.85
0.8,0.5666666666666667,0.22000000000000003,0.2964285714285714,biobert-sim,5,None
0.1,0.15,0.1,0.06666666666666667,biobert-sim,5,0.6
0.0,0.1,0.0,0.0,biobert-sim,5,0.65
0.0,0.1,0.0,0.0,biobert-sim,5,0.7
0.0,0.1,0.0,0.0,biobert-sim,5,0.75
0.0,0.1,0.0,0.0,biobert-sim,5,0.8
0.0,0.1,0.0,0.0,biobert-sim,5,0.85
0.0,0.1,0.0,0.0,biobert-sim,5,0.85
0.8,0.5666666666666667,0.18333333333333335,0.2611111111111111,biobert-sim,6,None
0.1,0.15,0.1,0.06666666666666667,biobert-sim,6,0.6
0.0,0.1,0.0,0.0,biobert-sim,6,0.65
0.0,0.1,0.0,0.0,biobert-sim,6,0.7
0.0,0.1,0.0,0.0,biobert-sim,6,0.75
0.0,0.1,0.0,0.0,biobert-sim,6,0.8
0.0,0.1,0.0,0.0,biobert-sim,6,0.85
0.0,0.1,0.0,0.0,biobert-sim,6,0.85
0.8,0.65,0.18571428571428567,0.2755555555555556,biobert-sim,7,None
0.1,0.15,0.1,0.06666666666666667,biobert-sim,7,0.6
0.0,0.1,0.0,0.0,biobert-sim,7,0.65
0.0,0.1,0.0,0.0,biobert-sim,7,0.7
0.0,0.1,0.0,0.0,biobert-sim,7,0.75
0.0,0.1,0.0,0.0,biobert-sim,7,0.8
0.0,0.1,0.0,0.0,biobert-sim,7,0.85
0.0,0.1,0.0,0.0,biobert-sim,7,0.85
0.3,0.2333333333333333,0.3,0.1833333333333333,biobert-raw,1,None
0.0,0.1,0.0,0.0,biobert-raw,1,0.6
0.0,0.1,0.0,0.0,biobert-raw,1,0.65
0.0,0.1,0.0,0.0,biobert-raw,1,0.7
0.0,0.1,0.0,0.0,biobert-raw,1,0.75
0.0,0.1,0.0,0.0,biobert-raw,1,0.8
0.0,0.1,0.0,0.0,biobert-raw,1,0.85
0.0,0.1,0.0,0.0,biobert-raw,1,0.85
0.3,0.31666666666666665,0.25,0.22999999999999998,biobert-raw,2,None
0.0,0.1,0.0,0.0,biobert-raw,2,0.6
0.0,0.1,0.0,0.0,biobert-raw,2,0.65
0.0,0.1,0.0,0.0,biobert-raw,2,0.7
0.0,0.1,0.0,0.0,biobert-raw,2,0.75
0.0,0.1,0.0,0.0,biobert-raw,2,0.8
0.0,0.1,0.0,0.0,biobert-raw,2,0.85
0.0,0.1,0.0,0.0,biobert-raw,2,0.85
0.5,0.38333333333333336,0.23333333333333334,0.25333333333333335,biobert-raw,3,None
0.0,0.1,0.0,0.0,biobert-raw,3,0.6
0.0,0.1,0.0,0.0,biobert-raw,3,0.65
0.0,0.1,0.0,0.0,biobert-raw,3,0.7
0.0,0.1,0.0,0.0,biobert-raw,3,0.75
0.0,0.1,0.0,0.0,biobert-raw,3,0.8
0.0,0.1,0.0,0.0,biobert-raw,3,0.85
0.0,0.1,0.0,0.0,biobert-raw,3,0.85
0.5,0.38333333333333336,0.175,0.21428571428571427,biobert-raw,4,None
0.0,0.1,0.0,0.0,biobert-raw,4,0.6
0.0,0.1,0.0,0.0,biobert-raw,4,0.65
0.0,0.1,0.0,0.0,biobert-raw,4,0.7
0.0,0.1,0.0,0.0,biobert-raw,4,0.75
0.0,0.1,0.0,0.0,biobert-raw,4,0.8
0.0,0.1,0.0,0.0,biobert-raw,4,0.85
0.0,0.1,0.0,0.0,biobert-raw,4,0.85
0.6,0.4166666666666667,0.16,0.21071428571428572,biobert-raw,5,None
0.0,0.1,0.0,0.0,biobert-raw,5,0.6
0.0,0.1,0.0,0.0,biobert-raw,5,0.65
0.0,0.1,0.0,0.0,biobert-raw,5,0.7
0.0,0.1,0.0,0.0,biobert-raw,5,0.75
0.0,0.1,0.0,0.0,biobert-raw,5,0.8
0.0,0.1,0.0,0.0,biobert-raw,5,0.85
0.0,0.1,0.0,0.0,biobert-raw,5,0.85
0.7,0.5,0.16666666666666669,0.23333333333333334,biobert-raw,6,None
0.0,0.1,0.0,0.0,biobert-raw,6,0.6
0.0,0.1,0.0,0.0,biobert-raw,6,0.65
0.0,0.1,0.0,0.0,biobert-raw,6,0.7
0.0,0.1,0.0,0.0,biobert-raw,6,0.75
0.0,0.1,0.0,0.0,biobert-raw,6,0.8
0.0,0.1,0.0,0.0,biobert-raw,6,0.85
0.0,0.1,0.0,0.0,biobert-raw,6,0.85
0.7,0.5,0.14285714285714285,0.2088888888888889,biobert-raw,7,None
0.0,0.1,0.0,0.0,biobert-raw,7,0.6
0.0,0.1,0.0,0.0,biobert-raw,7,0.65
0.0,0.1,0.0,0.0,biobert-raw,7,0.7
0.0,0.1,0.0,0.0,biobert-raw,7,0.75
0.0,0.1,0.0,0.0,biobert-raw,7,0.8
0.0,0.1,0.0,0.0,biobert-raw,7,0.85
0.0,0.1,0.0,0.0,biobert-raw,7,0.85
